fam,tf,period,mult,side,n_tr_months,total_all,mean_in_bleed,mean_normal,hedge_edge,wr_bleed,mIS,mOOS,tot_bleed,squeeze
sq,D1,20,2.0,long,115,-5402.893380851847,-2.922382291564039,-53.41523352729002,50.49285123572598,0.3333333333333333,153.83499462071333,-175.35549689506917,-61.370028122844815,100.0
sq,D1,20,2.0,short,116,-19946.087976735216,-4.403310497893385,-198.53618456279452,194.13287406490113,0.47619047619047616,-41.28132706526032,36.162507726210244,-92.46952045576109,100.0
sq,D1,20,2.0,both,113,-25260.23065888819,-0.6730795377413111,-252.4609598859562,251.7878803482149,0.42857142857142855,75.29206811622771,-84.23474195710723,-14.134670292567534,200.0
sq,D1,20,2.0,long,112,-7148.137251775703,-3.121631236926381,-70.82582995800249,67.70419872107611,0.3333333333333333,108.33229190267544,-125.72094669048838,-65.554255975454,200.0
sq,D1,20,2.0,short,113,-18054.579369216364,2.4651371145924452,-181.063472486228,183.52860960082043,0.47619047619047616,-35.40477074940513,44.122035764989775,51.76787940644135,200.0
sq,D1,20,2.5,both,118,-23688.286088201043,-85.37650234815352,-218.95379538889813,133.57729304074462,0.2857142857142857,71.77536746770998,-258.2435591456034,-1792.906549311224,50.0
sq,D1,20,2.5,long,117,-9529.424152256515,-56.739185886730496,-83.37901248635175,26.63982659962126,0.42857142857142855,94.99695587093397,-223.6489418201614,-1191.5229036213404,50.0
sq,D1,20,2.5,short,118,-14221.80844840595,-28.689108771817786,-136.19337164197776,107.50426287015998,0.38095238095238093,-22.007667824191728,-36.038693814206454,-602.4712842081735,50.0
sq,D1,20,2.5,both,116,-23180.857698574462,-68.33779091861358,-217.4576408928358,149.11984997422223,0.3333333333333333,81.23728374065121,-232.87037304380482,-1435.093609290885,100.0
sq,D1,20,2.5,long,115,-7132.816493357066,-23.231591667284928,-66.44953068344083,43.217939016155896,0.42857142857142855,97.99983244985775,-156.58615819614187,-487.8634250129835,100.0
sq,D1,20,2.5,short,116,-16072.306905862242,-42.76993288094317,-151.74138315362435,108.97145027268118,0.38095238095238093,-18.343403819984484,-69.63911484799773,-898.1685904998067,100.0
sq,D1,20,2.5,both,112,-24295.442686684535,-14.079214748466256,-239.99779176966746,225.9185770212012,0.3333333333333333,64.00839754451086,-99.97558827074108,-295.6635097177914,200.0
sq,D1,20,2.5,long,111,-9323.05823124801,-4.813990900518894,-92.21964422337112,87.40565332285223,0.3333333333333333,80.02823387724708,-98.14043815606146,-101.09380891089677,200.0
sq,D1,20,2.5,short,112,-14897.75069354677,-5.690473196114475,-147.78250756428366,142.09203436816918,0.3333333333333333,-18.394651031082255,8.284122422350084,-119.49993711840398,200.0
sq,D1,40,2.0,both,118,-24086.893213002208,-83.18247829585466,-223.4006116878926,140.21813339203794,0.42857142857142855,12.868758320129018,-188.8388385734367,-1746.832044212948,50.0
sq,D1,40,2.0,long,114,-11575.46022393114,-26.82291628733713,-110.12178981897063,83.29887353163349,0.38095238095238093,39.23222266916293,-99.48356913948719,-563.2812420340797,50.0
sq,D1,40,2.0,short,116,-12996.178218946912,-61.62822550964839,-117.01985483244296,55.39162932279457,0.3333333333333333,-37.21431981164857,-88.48352177744819,-1294.1927357026161,50.0
sq,D1,40,2.0,both,115,-26650.790014555758,-137.7180823977635,-237.58710284202732,99.86902044426381,0.38095238095238093,-96.67067418469982,-182.87023143213355,-2892.0797303530335,100.0
sq,D1,40,2.0,long,113,-11810.401487781583,-30.867373834116474,-111.62186637265138,80.7544925385349,0.38095238095238093,7.596122033415503,-73.17721928840164,-648.214850516446,100.0
sq,D1,40,2.0,short,114,-15249.192398488209,-108.89033375957098,-129.6249538953722,20.734620135801208,0.3333333333333333,-113.90866201407219,-103.37017267961964,-2286.6970089509905,100.0
sq,D1,40,2.0,both,112,-26885.076636256337,-112.47625034095324,-245.23075379096315,132.7545034500099,0.42857142857142855,-82.91176010155984,-144.997189604286,-2362.001257160018,200.0
sq,D1,40,2.0,long,110,-13561.830897665812,-36.13213258315946,-128.03056113419464,91.89842855103518,0.38095238095238093,5.334679263252838,-81.74562561421298,-758.7747842463486,200.0
