orig,instr,dir,entry_d0,year,bars_held_d0,ret_d0,mae_h4_d0,mae_m1_d0,mae_m1_8h_d0,mae_h4_d1,mae_m1_d1,mae_m1_8h_d1,d_h4,d_m1,hid_d0,hid_d1
552,AUDCHF,-1,2021-02-19 04:00:00+00:00,2021,31,-0.01403953653762486,-0.03665186062004211,-0.03966484473306564,-0.008450296661306034,-0.032044081665953295,-0.03504367346733139,-0.006344505193632388,0.004607778954088815,0.004621171265734247,-0.0030129841130235313,-0.0029995918013780987
553,AUDCAD,-1,2021-02-19 04:00:00+00:00,2021,29,-0.002715365247952585,-0.009452771691027984,-0.010123722856676398,-0.002752626063959651,-0.007808818868701106,-0.008478677351171582,-0.001962742822513075,0.0016439528223268773,0.0016450455055048163,-0.0006709511656484146,-0.0006698584824704756
554,NZDUSD,-1,2021-02-22 08:00:00+00:00,2021,24,0.005619360131255076,-0.01817063166529942,-0.020385561936013152,-0.0037599124965819186,-0.017072176473133194,-0.019284717162395326,-0.0026770043343549155,0.0010984551921662256,0.0011008447736178262,-0.002214930270713733,-0.0022125406892621324
555,NZDCAD,-1,2021-02-23 08:00:00+00:00,2021,18,0.0037017547560880496,-0.007384143124991915,-0.009191099578943485,-0.0009078883841766583,-0.00788755478126979,-0.00969541421046416,-0.001296187912964708,-0.0005034116562778745,-0.0005043146315206748,-0.0018069564539515692,-0.0018078594291943695
556,EURCAD,1,2021-02-24 12:00:00+00:00,2021,6,0.0041780035017622294,-0.0009278966037514769,-0.001447887435174211,-0.001447887435174211,-0.00024101336682147423,-0.0005248863023212813,-0.0005248863023212813,0.0006868832369300026,0.0009230011328529297,-0.0005199908314227342,-0.0002838729354998071
557,USDCAD,1,2021-02-24 16:00:00+00:00,2021,7,0.0066080349874700515,-0.0035753619255879387,-0.004948045522018996,-0.001995179645975509,-0.0022056403873633723,-0.0035802109245778313,-0.001486388362076707,0.0013697215382245664,0.0013678345974411643,-0.0013726835964310569,-0.001374570537214459
559,EURAUD,1,2021-02-24 20:00:00+00:00,2021,5,0.010238689510377192,-0.00021529763769234656,-0.0004270539759929637,-0.000327639195897067,-0.0018960783110498758,-0.0021074786567452097,-0.0021074786567452097,-0.0016807806733575292,-0.001680424680752246,-0.00021175633830061713,-0.00021140034569533395
558,AUDUSD,-1,2021-02-24 20:00:00+00:00,2021,6,0.014069318352811302,-0.0016301349250140706,-0.00396248181772596,-0.0016301349250140706,-0.003366324020143585,-0.005702713717779417,-0.005702713717779417,-0.0017361890951295145,-0.0017402319000534572,-0.0023323468927118896,-0.0023363896976358323
560,USDJPY,-1,2021-02-25 20:00:00+00:00,2021,86,-0.02345200328986012,-0.02697215368346839,-0.027902714134649287,-0.0003430854188697374,-0.030099506001224574,-0.031032900210237413,-0.003992752821864176,-0.0031273523177561824,-0.003130186075588126,-0.0009305604511808951,-0.0009333942090128389
561,EURCHF,-1,2021-03-04 12:00:00+00:00,2021,19,0.006990407144693214,0.0014905441042364354,-0.001254612752940032,-0.001254612752940032,-0.0001679991863652308,-0.00077246990743296,-0.00077246990743296,-0.0016585432906016662,0.000482142845507072,-0.0027451568571764673,-0.0006044707210677291
562,GBPCHF,-1,2021-03-04 12:00:00+00:00,2021,37,0.002350359444995317,-0.0016466759930966468,-0.0034044979465988057,-0.0017336308776225717,-0.004619718458370725,-0.006382757899675351,-0.0008034912182601772,-0.0029730424652740783,-0.0029782599530765452,-0.0017578219535021589,-0.0017630394413046258
563,EURCAD,1,2021-03-05 00:00:00+00:00,2021,60,-0.015144985842881866,-0.021735412380756713,-0.022127091269405152,-0.0008055632449593952,-0.02140140252705447,-0.021793215147016376,-0.003142297812713357,0.000334009853702244,0.0003338761223887765,-0.00039167888864843903,-0.00039181261996190653
564,EURUSD,1,2021-03-08 08:00:00+00:00,2021,16,0.00534218642039794,-0.0014324474628827355,-0.002696371694838051,-0.001761067763191071,-0.0005987358542842713,-0.0018637153461484868,-0.0011468936340920388,0.0008337116085984642,0.0008326563486895644,-0.0012639242319553157,-0.0012649794918642154
565,AUDCHF,-1,2021-03-11 04:00:00+00:00,2021,14,0.004540396248911249,0.001026467856577784,-0.0002082441414299474,-0.0002082441414299474,-0.003213695866194799,-0.004086176085777327,-0.0016562820959078461,-0.004240163722772583,-0.003877931944347379,-0.0012347119980077315,-0.0008724802195825276
567,EURJPY,-1,2021-03-12 12:00:00+00:00,2021,13,0.0031016187878822963,-0.0028338321243066567,-0.003141463265720068,-0.0023909484325268515,-0.0010559176002902237,-0.0013630033453908563,-0.000613819092778245,0.001777914524016433,0.0017784599203292117,-0.0003076311414134114,-0.0003070857451006326
566,USDCAD,1,2021-03-12 12:00:00+00:00,2021,26,0.0016964750130035184,-0.008714440043212202,-0.010450926259352622,-0.002744768535189901,-0.00644042987142146,-0.008180899588863921,-0.00024050779039375136,0.0022740101717907413,0.0022700266704887007,-0.0017364862161404204,-0.001740469717442461
