config,start,end,trough,dow,hour_utc,dd_m1,dd_h4_aligned,gap_pp,max_m1gap_min_2d,weekend_gap,top_unreal
d1_emp,2018-12-02 22:00,2018-12-02 23:59,2018-12-02 23:59,Sun,23,-0.07770834035099095,-0.05308466161936565,-2.46236787316253,2881,True,
d1_emp,2020-06-03 15:11,2020-06-03 15:59,2020-06-03 15:38,Wed,15,-0.07567269145045119,-0.05147008962902566,-2.420260182142553,3,False,
d1_emp,2017-02-08 14:40,2017-02-08 15:44,2017-02-08 14:53,Wed,14,-0.024026023028859034,-0.0001682986157763855,-2.385772441308265,2,False,
d1_emp,2022-09-07 11:38,2022-09-08 14:50,2022-09-08 14:04,Thu,14,-0.03308134249657868,-0.009260470396775689,-2.382087209980299,2,False,
d1_emp,2017-08-02 09:31,2017-08-02 10:48,2017-08-02 09:47,Wed,9,-0.10260345455675901,-0.07882954754872218,-2.377390700803683,1,False,
d1_emp,2017-10-06 12:53,2017-10-06 14:13,2017-10-06 14:09,Fri,14,-0.03007088720325224,-0.006637962272365572,-2.3432924930886667,1,False,
d1_emp,2022-05-11 12:50,2022-05-11 13:04,2022-05-11 12:55,Wed,12,-0.1904137081955073,-0.1669960180149468,-2.34176901805605,3,False,
d1_emp,2021-12-01 18:45,2021-12-01 19:59,2021-12-01 19:19,Wed,19,-0.10769213756918394,-0.08429908327776292,-2.3393054291421023,2,False,
d1_emp,2016-11-23 15:33,2016-11-23 15:59,2016-11-23 15:59,Wed,15,-0.023346222646146386,0.0,-2.3346222646146386,31,False,
d1_emp,2023-01-19 18:39,2023-01-20 15:31,2023-01-19 19:45,Thu,19,-0.02589456363712006,-0.0026479191281550962,-2.3246644508964964,2,False,
d1_emp,2022-10-21 13:58,2022-10-21 14:23,2022-10-21 14:06,Fri,14,-0.04608295968431131,-0.023225994136164885,-2.2856965548146424,3,False,
d1_emp,2022-12-02 17:35,2022-12-02 19:59,2022-12-02 19:17,Fri,19,-0.06655707115027565,-0.04389860873935303,-2.265846241092262,3,False,
d1_emp,2017-06-02 13:40,2017-06-02 15:40,2017-06-02 14:06,Fri,14,-0.03540142429472015,-0.013470351070865028,-2.1931073223855124,2,False,
d1_emp,2024-05-22 02:01,2024-05-22 07:59,2024-05-22 06:51,Wed,6,-0.04142815229599994,-0.01955216634602175,-2.1875985949978194,3,False,
d1_emp,2021-12-03 15:42,2021-12-03 15:59,2021-12-03 15:46,Fri,15,-0.14616994832095953,-0.12447642664765357,-2.169352167330596,3,False,
d1_emp,2023-07-12 14:43,2023-07-12 15:49,2023-07-12 14:48,Wed,14,-0.12154908949524679,-0.10001981947459271,-2.152927002065408,4,False,
d1_emp,2026-03-08 22:15,2026-03-08 22:17,2026-03-08 22:16,Sun,22,-0.0765075854916587,-0.054991236683861744,-2.151634880779696,2821,True,
d1_emp,2017-05-09 14:35,2017-05-09 14:44,2017-05-09 14:40,Tue,14,-0.04046556455885486,-0.019102818412223943,-2.1362746146630918,2881,True,
d1_emp,2026-02-11 03:31,2026-02-11 03:59,2026-02-11 03:47,Wed,3,-0.030429150993458665,-0.009086473315159993,-2.134267767829867,4,False,
d1_emp,2023-08-17 01:34,2023-08-17 01:43,2023-08-17 01:34,Thu,1,-0.1494293774880836,-0.12826655738810178,-2.1162820099981827,5,False,
d1_emp,2022-11-24 14:57,2022-11-24 14:59,2022-11-24 14:58,Thu,14,-0.05901017333354086,-0.03787142136130561,-2.113875197223525,2,False,
d1_emp,2023-01-24 06:48,2023-01-25 03:53,2023-01-25 03:49,Wed,3,-0.03428159833398725,-0.013201735867457098,-2.1079862466530153,7,False,
d1_emp,2017-06-14 14:43,2017-06-14 14:59,2017-06-14 14:47,Wed,14,-0.07621490895594119,-0.055445184771041656,-2.076972418489953,2,False,
d1_emp,2017-05-22 10:25,2017-05-22 10:26,2017-05-22 10:25,Mon,10,-0.035426302374688357,-0.01467593905080089,-2.0750363323887466,2881,True,
d1_emp,2026-03-31 14:57,2026-03-31 14:57,2026-03-31 14:57,Tue,14,-0.08357114749821981,-0.06284203297332691,-2.07291145248929,2881,True,
d1_emp,2018-02-14 03:56,2018-02-14 03:59,2018-02-14 03:56,Wed,3,-0.02158556183486804,-0.0008862283613095823,-2.0699333473558457,1,False,
d1_emp,2023-05-26 15:20,2023-05-26 15:24,2023-05-26 15:23,Fri,15,-0.04927713326258243,-0.028627640608941962,-2.0649492653640467,9,False,
d1_emp,2025-06-25 07:42,2025-06-25 07:46,2025-06-25 07:43,Wed,7,-0.023734260523307626,-0.003094454848243222,-2.0639805675064404,3,False,
d1_emp,2023-01-03 09:17,2023-01-03 09:27,2023-01-03 09:17,Tue,9,-0.03835363761083466,-0.01782315068112017,-2.0530486929714487,2885,True,
d1_emp,2019-10-02 09:09,2019-10-02 09:21,2019-10-02 09:21,Wed,9,-0.0328305548054898,-0.012473414130218297,-2.03571406752715,1,False,
d1_emp,2022-05-16 03:21,2022-05-16 03:21,2022-05-16 03:21,Mon,3,-0.18817887490779395,-0.16802621369925386,-2.015266120854009,2885,True,
