instr,entry,dir,horizon,mae_sigma,win,ret,z_entry,bars_held
AUDNZD,2018-08-07 04:00:00+00:00,-1,8,2.6400612201001175,False,-0.0033009306732198506,2.3489166836258226,27
AUDNZD,2018-11-14 04:00:00+00:00,1,1,0.7238119948070497,True,0.00529446634385869,2.1744238418000084,19
AUDNZD,2018-11-14 04:00:00+00:00,1,2,0.7238119948070497,True,0.00529446634385869,2.1744238418000084,19
AUDNZD,2018-11-14 04:00:00+00:00,1,4,0.7238119948070497,True,0.00529446634385869,2.1744238418000084,19
AUDNZD,2018-11-14 04:00:00+00:00,1,8,0.7238119948070497,True,0.00529446634385869,2.1744238418000084,19
AUDNZD,2019-03-10 20:00:00+00:00,1,1,0.40193678501003716,True,0.0001383619882135019,2.221816487611516,22
AUDNZD,2019-03-10 20:00:00+00:00,1,2,0.40193678501003716,True,0.0001383619882135019,2.221816487611516,22
AUDNZD,2019-03-10 20:00:00+00:00,1,4,1.4986099506334278,True,0.0001383619882135019,2.221816487611516,22
AUDNZD,2019-03-10 20:00:00+00:00,1,8,2.3972237113615447,True,0.0001383619882135019,2.221816487611516,22
AUDNZD,2019-03-20 20:00:00+00:00,1,1,0.3354278933124923,True,0.00223056021324326,2.207096008729601,1
AUDNZD,2019-03-20 20:00:00+00:00,1,2,0.3354278933124923,True,0.00223056021324326,2.207096008729601,1
AUDNZD,2019-03-20 20:00:00+00:00,1,4,0.3354278933124923,True,0.00223056021324326,2.207096008729601,1
AUDNZD,2019-03-20 20:00:00+00:00,1,8,0.3354278933124923,True,0.00223056021324326,2.207096008729601,1
AUDNZD,2019-06-20 00:00:00+00:00,1,1,0.4197721323074474,True,0.004236608487462874,2.491106236090885,7
AUDNZD,2019-06-20 00:00:00+00:00,1,2,0.4197721323074474,True,0.004236608487462874,2.491106236090885,7
AUDNZD,2019-06-20 00:00:00+00:00,1,4,0.4197721323074474,True,0.004236608487462874,2.491106236090885,7
AUDNZD,2019-06-20 00:00:00+00:00,1,8,0.4197721323074474,True,0.004236608487462874,2.491106236090885,7
AUDNZD,2019-07-17 08:00:00+00:00,1,1,0.9176986689463393,True,0.0008210812981497908,2.3104314015032603,22
AUDNZD,2019-07-17 08:00:00+00:00,1,2,1.074375629916294,True,0.0008210812981497908,2.3104314015032603,22
AUDNZD,2019-07-17 08:00:00+00:00,1,4,1.536210511483715,True,0.0008210812981497908,2.3104314015032603,22
AUDNZD,2019-07-17 08:00:00+00:00,1,8,1.536210511483715,True,0.0008210812981497908,2.3104314015032603,22
AUDNZD,2019-08-18 20:00:00+00:00,-1,1,0.7793730996736342,True,0.0003488197426457179,2.2124311641987453,28
AUDNZD,2019-08-18 20:00:00+00:00,-1,2,0.7806441615354248,True,0.0003488197426457179,2.2124311641987453,28
AUDNZD,2019-08-18 20:00:00+00:00,-1,4,0.7806441615354248,True,0.0003488197426457179,2.2124311641987453,28
AUDNZD,2019-08-18 20:00:00+00:00,-1,8,1.9504523886286316,True,0.0003488197426457179,2.2124311641987453,28
AUDNZD,2019-08-28 04:00:00+00:00,-1,1,0.47265627583794945,False,-0.00317030182327325,2.077931736257806,43
AUDNZD,2019-08-28 04:00:00+00:00,-1,2,0.8715868283157798,False,-0.00317030182327325,2.077931736257806,43
AUDNZD,2019-08-28 04:00:00+00:00,-1,4,1.0905075507291704,False,-0.00317030182327325,2.077931736257806,43
AUDNZD,2019-08-28 04:00:00+00:00,-1,8,1.9658163188139073,False,-0.00317030182327325,2.077931736257806,43
AUDNZD,2019-09-16 08:00:00+00:00,-1,1,1.4453316607385187,True,0.0031158997529170205,2.3144127622989537,16
AUDNZD,2019-09-16 08:00:00+00:00,-1,2,2.8956362900303567,True,0.0031158997529170205,2.3144127622989537,16
AUDNZD,2019-09-16 08:00:00+00:00,-1,4,2.9099853301241625,True,0.0031158997529170205,2.3144127622989537,16
AUDNZD,2019-09-16 08:00:00+00:00,-1,8,2.9099853301241625,True,0.0031158997529170205,2.3144127622989537,16
AUDNZD,2019-10-30 04:00:00+00:00,-1,1,0.229659198510145,True,0.006211889419741124,2.335556671483361,7
AUDNZD,2019-10-30 04:00:00+00:00,-1,2,0.229659198510145,True,0.006211889419741124,2.335556671483361,7
AUDNZD,2019-10-30 04:00:00+00:00,-1,4,0.229659198510145,True,0.006211889419741124,2.335556671483361,7
AUDNZD,2019-10-30 04:00:00+00:00,-1,8,0.229659198510145,True,0.006211889419741124,2.335556671483361,7
AUDNZD,2019-11-06 04:00:00+00:00,-1,1,0.05906567357458731,True,0.0019834570757688848,2.0069708456357374,18
AUDNZD,2019-11-06 04:00:00+00:00,-1,2,0.05906567357458731,True,0.0019834570757688848,2.0069708456357374,18
AUDNZD,2019-11-06 04:00:00+00:00,-1,4,0.05906567357458731,True,0.0019834570757688848,2.0069708456357374,18
AUDNZD,2019-11-06 04:00:00+00:00,-1,8,1.647573751089169,True,0.0019834570757688848,2.0069708456357374,18
AUDNZD,2019-11-25 20:00:00+00:00,1,1,1.0075839449998647,False,-0.011868529677808997,2.0201048016149707,69
AUDNZD,2019-11-25 20:00:00+00:00,1,2,1.0075839449998647,False,-0.011868529677808997,2.0201048016149707,69
AUDNZD,2019-11-25 20:00:00+00:00,1,4,1.2316393255189337,False,-0.011868529677808997,2.0201048016149707,69
AUDNZD,2019-11-25 20:00:00+00:00,1,8,2.36250965568038,False,-0.011868529677808997,2.0201048016149707,69
