er_win,er_hi,er_lo,ma_win,side,mean_in_bleed,mean_normal,hedge_edge,winrate_in_bleed,IS,OOS,total_in_bleed,total_all,persist
20,0.45,0.25,200,short,-125.80539052847139,-155.63577258493308,29.830382056461687,0.2857142857142857,-83.63671624970365,-172.1909322351159,-2641.913201097899,-18205.49045959121,False
20,0.55,0.25,50,both,-133.64450010661454,-180.56205246174235,46.91755235512781,0.42857142857142855,12.344469350921743,-294.23236650990447,-2806.5345022389056,-20862.73974841314,False
20,0.55,0.25,50,long,-52.48638309402416,-96.1699533546578,43.683570260633644,0.38095238095238093,21.230845919620894,-133.57533500903372,-1102.2140449745075,-10719.209380440288,False
20,0.55,0.25,50,short,-77.8898276654953,-85.9985620280086,8.108734362513303,0.42857142857142855,-3.4905785544223447,-159.72900168767555,-1635.6863809754013,-10235.542583776261,False
20,0.55,0.25,100,both,-155.57931904914898,-176.18771784968382,20.608398800534843,0.2857142857142857,-88.023741935229,-229.89045387446095,-3267.1657000321284,-20885.93748500051,False
20,0.55,0.25,100,long,-45.17049149823271,-92.46118306229071,47.29069156405801,0.38095238095238093,-20.755346274625648,-72.02715124420047,-948.5803214628868,-10194.698627691958,False
20,0.55,0.25,100,short,-105.33718481777639,-85.31280040939795,-20.024384408378438,0.38095238095238093,-62.11635524158109,-152.88009735159122,-2212.080881173304,-10743.3609221131,False
20,0.55,0.25,200,both,-53.09127902331532,-150.94405559908816,97.85277657577284,0.47619047619047616,10.86852671056427,-123.44706533058289,-1114.9168594896219,-16209.322419398439,False
20,0.55,0.25,200,long,-20.10521589202307,-76.56686046483335,56.461644572810286,0.38095238095238093,8.056871034947438,-51.08351151169063,-422.2095337324845,-8078.89558021582,False
20,0.55,0.25,200,short,-28.893256966817283,-74.54441850592775,45.65116153911047,0.47619047619047616,4.816808629731068,-65.97432912302047,-606.758396303163,-8061.200246895938,False
40,0.35,0.25,50,both,8.17847505397601,-197.99780652531072,206.17628157928672,0.38095238095238093,107.54370128636269,-101.12327380164933,171.7479761334962,-19628.032676397583,False
40,0.35,0.25,50,long,23.447297942178487,-90.30533411578106,113.75263205795954,0.42857142857142855,41.53308243298207,3.552935002294544,492.39325678574824,-8538.14015479236,True
40,0.35,0.25,50,short,-12.004279639693172,-107.56036465843884,95.55608501874568,0.23809523809523808,68.13768597186605,-100.16044181240832,-252.0898724335566,-11008.126338277441,False
40,0.35,0.25,100,both,6.210911390778468,-185.38377169509022,191.5946830858687,0.38095238095238093,107.14850370160639,-104.82044015113225,130.42913920634783,-18407.94803030267,False
40,0.35,0.25,100,long,21.494640291567737,-82.17453251264715,103.66917280421488,0.42857142857142855,41.978839253791605,-1.0379785668785189,451.3874461229225,-7766.065805141793,False
40,0.35,0.25,100,short,-12.610218251976178,-103.06470272290544,90.45448447092926,0.23809523809523808,66.82041204825063,-99.98391158222566,-264.81458329149973,-10571.284855582044,False
40,0.35,0.25,200,both,-28.229049992553147,-198.70112182387808,170.47207183132494,0.3333333333333333,37.550675781462566,-100.58674834397043,-592.8100498436161,-20462.922232231424,False
40,0.35,0.25,200,long,6.845097872187017,-89.40917710632338,96.2542749785104,0.38095238095238093,10.038980398316033,3.3318270934450993,143.74705531592735,-8797.170655316411,True
40,0.35,0.25,200,short,-33.82137091149906,-110.1492666444436,76.32789573294454,0.2857142857142857,28.1835278460499,-102.02675954480291,-710.2487891414803,-11725.17545358584,False
40,0.45,0.25,50,both,52.07344216460011,-105.7015454875475,157.77498765214762,0.42857142857142855,53.07759367597514,50.96887550208758,1093.5422854566023,-9476.612263298148,True
