instr,entry,exit,dir,entry_price,ret,bars_held,z_entry,vol_entry
NZDUSD,2020-02-23 00:00:00+00:00,2020-05-10 00:00:00+00:00,-1,0.63205,0.02839965192627178,66,1.899216878826785,0.003976311338094325
USDJPY,2020-03-01 00:00:00+00:00,2020-06-04 00:00:00+00:00,-1,107.67050000000002,-0.01373635304006171,82,2.040644043716416,0.005276270794624744
GBPUSD,2020-03-02 00:00:00+00:00,2020-06-05 00:00:00+00:00,-1,1.2765549999999999,0.007794415438425898,82,2.542701832246175,0.0038719026868730346
USDCHF,2020-03-02 00:00:00+00:00,2020-03-19 00:00:00+00:00,-1,0.95826,-0.03174503788115947,15,2.2898840078808145,0.0030221639697738914
EURUSD,2020-03-05 00:00:00+00:00,2020-03-19 00:00:00+00:00,1,1.12227,-0.05066516970069598,12,1.8249075817671516,0.004055000346165645
EURUSD,2020-03-19 00:00:00+00:00,2020-05-28 00:00:00+00:00,-1,1.06541,-0.039806271763922145,60,2.23190374328208,0.008846090739518156
AUDUSD,2020-06-01 00:00:00+00:00,2020-09-23 00:00:00+00:00,1,0.6783899999999999,0.041200489394006674,98,2.372026672632924,0.00745429442597857
NZDUSD,2020-06-04 00:00:00+00:00,2021-03-22 00:00:00+00:00,1,0.64622,0.10340131843644565,248,3.2623014452182812,0.00849282163512673
USDCHF,2020-07-08 00:00:00+00:00,2020-09-23 00:00:00+00:00,-1,0.93822,0.01497516573937896,66,1.7233328702475308,0.0026886184495856875
EURUSD,2020-07-14 00:00:00+00:00,2020-09-23 00:00:00+00:00,1,1.14102,0.021585949413682578,61,1.5043717556715248,0.0036957882453868027
USDJPY,2020-07-24 00:00:00+00:00,2021-01-29 00:00:00+00:00,-1,106.1195,0.01392769472151687,161,1.8115355432599123,0.0027125679343349275
GBPUSD,2020-07-24 00:00:00+00:00,2020-09-22 00:00:00+00:00,1,1.2793050000000001,-0.004002173054901179,51,1.976954327365211,0.003023687016946633
USDCAD,2020-07-27 00:00:00+00:00,2021-07-07 00:00:00+00:00,-1,1.3338400000000001,0.06417561326695863,295,2.2572118384131463,0.003542689737821845
USDCHF,2020-11-06 00:00:00+00:00,2021-02-01 00:00:00+00:00,-1,0.89925,0.0029802613288852655,73,2.2249895809606683,0.0038279660197908278
AUDUSD,2020-11-27 00:00:00+00:00,2021-03-24 00:00:00+00:00,1,0.73782,0.028692635060041737,99,1.8010738994997066,0.004296075515162778
EURUSD,2020-11-27 00:00:00+00:00,2021-02-02 00:00:00+00:00,1,1.19623,0.006177741738629053,56,2.2331680650626553,0.0029695261240247034
GBPUSD,2020-12-01 00:00:00+00:00,2021-06-18 00:00:00+00:00,1,1.3421450000000001,0.028193675050013176,170,1.9508755679864855,0.003484819700691169
USDJPY,2021-02-16 00:00:00+00:00,2021-08-02 00:00:00+00:00,1,106.1205,0.029645544451826,143,2.6236741232793515,0.002930570042033076
USDCHF,2021-03-03 00:00:00+00:00,2021-04-28 00:00:00+00:00,1,0.92008,-0.012194591774628373,48,2.863837033687098,0.004073904283257515
EURUSD,2021-03-23 00:00:00+00:00,2021-04-28 00:00:00+00:00,-1,1.18393,-0.024984585237302695,31,2.064274194849875,0.004167616357182266
NZDUSD,2021-03-23 00:00:00+00:00,2021-05-07 00:00:00+00:00,-1,0.69912,-0.04143780752946556,39,3.1878218140109222,0.006656255390856119
EURUSD,2021-05-18 00:00:00+00:00,2021-06-16 00:00:00+00:00,1,1.22226,-0.018645787312028424,25,1.7555967957675918,0.003928736400675512
AUDUSD,2021-06-17 00:00:00+00:00,2021-10-19 00:00:00+00:00,-1,0.7555999999999999,0.01074642668078335,106,3.590087197957029,0.004784918905489629
NZDUSD,2021-06-18 00:00:00+00:00,2021-09-01 00:00:00+00:00,-1,0.69248,-0.020231631238447418,64,3.9678472574139545,0.005564424969524583
GBPUSD,2021-07-19 00:00:00+00:00,2022-01-07 00:00:00+00:00,-1,1.366795,0.006204295450305178,148,1.9121142904762582,0.0036007398169546102
USDCAD,2021-07-19 00:00:00+00:00,2021-10-08 00:00:00+00:00,1,1.27502,-0.02233690451914488,70,2.437565611748043,0.00468113645820539
EURUSD,2021-08-06 00:00:00+00:00,2022-01-12 00:00:00+00:00,-1,1.17593,0.027178488515472818,136,1.2249960184933475,0.0021614756295093183
USDCHF,2021-09-16 00:00:00+00:00,2021-10-28 00:00:00+00:00,1,0.9274099999999998,-0.017004345435136382,36,2.285199595029559,0.0038514753390342074
USDJPY,2021-09-29 00:00:00+00:00,2022-11-10 00:00:00+00:00,1,111.93950000000001,0.2661348317617999,349,3.663603685797884,0.0031646522337729645
NZDUSD,2021-10-19 00:00:00+00:00,2021-11-25 00:00:00+00:00,1,0.71549,-0.043704314525709595,32,1.712500451016443,0.005363108176872167
USDCHF,2021-11-25 00:00:00+00:00,2022-01-13 00:00:00+00:00,1,0.9353300000000002,-0.025980135353297847,42,1.7112798582538795,0.0029003827941548118
AUDUSD,2021-11-26 00:00:00+00:00,2022-03-02 00:00:00+00:00,-1,0.7112600000000001,-0.025349379973567798,82,2.3236526562281554,0.003794311672969131
