instr,entry,dir,exit_kind,bar_at,bars_base,ret_base,ret_limit
AUDNZD,2018-02-15 12:00:00+00:00,1,limit,16,16,0.0037523588728171947,0.0033039669925925916
AUDNZD,2018-02-21 16:00:00+00:00,1,limit,8,8,0.004709355871038869,0.003965524343802557
AUDNZD,2018-03-26 12:00:00+00:00,1,limit,13,15,0.0038788877928746784,0.0034362617911518232
AUDNZD,2018-08-07 04:00:00+00:00,-1,limit,24,27,-0.0033000695769820456,-0.0034173712553609696
AUDNZD,2018-11-14 04:00:00+00:00,1,limit,5,19,0.005295997249879841,0.007557036008793451
AUDNZD,2019-03-10 20:00:00+00:00,1,limit,22,22,0.0001384441334780118,-3.3143736092361073e-06
AUDNZD,2019-03-20 20:00:00+00:00,1,limit,1,1,0.0022312505895400146,0.0020501604808792935
AUDNZD,2019-06-20 00:00:00+00:00,1,limit,7,7,0.00423785863802635,0.003720909579036335
AUDNZD,2019-07-17 08:00:00+00:00,1,limit,22,22,0.0008213589884169552,0.000650063177423161
AUDNZD,2019-08-18 20:00:00+00:00,-1,limit,28,28,0.00034868025227865194,-0.0012535183493138343
AUDNZD,2019-08-28 04:00:00+00:00,-1,limit,22,43,-0.00316944843053062,-0.0008979414623200282
AUDNZD,2019-09-16 08:00:00+00:00,-1,limit,16,16,0.0031149933819063606,0.001988671923353384
AUDNZD,2019-10-30 04:00:00+00:00,-1,limit,7,7,0.006210123268228964,0.005662536234722478
AUDNZD,2019-11-06 04:00:00+00:00,-1,limit,18,18,0.0019828684442999792,0.0016316958754529968
AUDNZD,2019-11-25 20:00:00+00:00,1,limit,69,69,-0.011871879120353063,-0.011897567190770418
AUDNZD,2020-02-10 20:00:00+00:00,-1,limit,7,7,0.005051505589173461,0.003299062806732448
AUDNZD,2020-04-22 12:00:00+00:00,-1,limit,37,37,0.0012006511774880042,-0.0038711485688224545
AUDNZD,2020-08-13 12:00:00+00:00,-1,limit,23,24,-0.0019901624352792195,-0.0026865659377586205
AUDNZD,2020-11-30 08:00:00+00:00,1,limit,14,14,0.0009214353029336013,0.0006343116725253761
AUDNZD,2021-01-12 08:00:00+00:00,-1,limit,40,40,-0.0030243300336693993,-0.0031282455666863927
AUDNZD,2021-05-25 08:00:00+00:00,1,close,31,31,-0.006123386244447959,-0.006123386244447959
AUDNZD,2021-07-30 08:00:00+00:00,1,limit,7,7,0.0019747612074866626,0.0019031584134094979
AUDNZD,2021-08-31 00:00:00+00:00,1,limit,8,8,0.003292795810981056,0.0027651823028841975
AUDNZD,2021-09-08 20:00:00+00:00,1,limit,39,39,-0.003723046174022153,-0.004253084688918531
AUDNZD,2021-10-11 04:00:00+00:00,-1,limit,19,19,0.001926233992470669,0.0003186798521196793
AUDNZD,2022-02-14 20:00:00+00:00,-1,limit,2,2,0.00390647494727621,0.0027635395290515554
AUDNZD,2022-03-24 16:00:00+00:00,-1,limit,21,22,-0.0003571392431646232,-0.0004577573037628952
AUDNZD,2022-04-13 04:00:00+00:00,-1,limit,23,43,2.012415134278764e-05,0.0018804362299856775
AUDNZD,2022-07-27 08:00:00+00:00,-1,limit,7,7,0.004178967805107069,0.0036930473391063473
AUDNZD,2022-08-26 04:00:00+00:00,-1,limit,16,16,0.004982199329548104,0.0032835846178448512
AUDNZD,2022-09-13 08:00:00+00:00,-1,limit,18,19,0.0018370759535501077,0.0018590542453807558
AUDNZD,2022-09-19 16:00:00+00:00,-1,limit,44,44,-0.008672681794409583,-0.008763780586460785
AUDNZD,2022-10-31 12:00:00+00:00,1,limit,27,40,-0.006305887980749562,-0.004288211306447552
AUDNZD,2022-12-16 04:00:00+00:00,1,limit,9,18,0.0023298973576552245,0.0020394172714199967
AUDNZD,2023-01-13 04:00:00+00:00,-1,limit,13,13,0.003987569691332572,0.0036595204612513985
AUDNZD,2023-03-10 16:00:00+00:00,1,limit,20,21,0.0028456966095281953,0.001340862773314925
AUDNZD,2023-04-20 16:00:00+00:00,-1,limit,13,13,0.005388691479081617,0.004735621717577383
AUDNZD,2023-09-15 16:00:00+00:00,-1,limit,6,7,0.0023420234848207577,0.002241439412686992
AUDNZD,2023-09-26 08:00:00+00:00,1,limit,15,71,-0.008155365148258906,0.0026327506956989634
AUDNZD,2024-02-08 12:00:00+00:00,1,limit,16,16,0.0030364396458991767,0.0003870224931190447
AUDNZD,2024-02-21 08:00:00+00:00,1,limit,17,17,0.0020872830268176303,0.001502745149796146
AUDNZD,2024-03-20 12:00:00+00:00,-1,limit,45,89,-0.010289302203327619,-0.006305348388469437
AUDNZD,2024-06-03 16:00:00+00:00,1,limit,23,23,-0.002585387194745396,-0.0026498164462767527
AUDNZD,2024-08-29 00:00:00+00:00,1,limit,14,14,0.006511874465287034,0.005590582608835764
AUDNZD,2024-09-06 12:00:00+00:00,1,limit,5,5,0.0028881955728041835,0.002502062370769632
AUDNZD,2024-10-04 12:00:00+00:00,-1,limit,10,10,0.0041189228560189846,0.004146695828969606
AUDNZD,2025-02-10 12:00:00+00:00,-1,limit,21,24,-0.00012987248054836903,-0.00018797667329367476
AUDNZD,2025-03-17 00:00:00+00:00,1,limit,31,31,-0.0018918162721816162,-0.003141399476020164
AUDNZD,2025-04-17 12:00:00+00:00,1,limit,4,34,0.0019146570747801581,0.005545328569937397
AUDNZD,2025-07-10 12:00:00+00:00,-1,limit,28,29,-0.0014078511846621112,-0.0024877683829156454
AUDNZD,2025-09-03 04:00:00+00:00,-1,limit,14,14,0.0012974667703753412,0.0009309926399116429
AUDNZD,2025-09-12 08:00:00+00:00,-1,limit,21,85,-0.01699046386876501,0.0006062209946426408
AUDNZD,2026-02-09 12:00:00+00:00,-1,limit,23,23,0.00042481861727784167,0.00020734091123625074
AUDNZD,2026-02-20 12:00:00+00:00,-1,limit,34,34,0.000527814605989215,-0.0006512222998917793
AUDNZD,2026-03-10 04:00:00+00:00,-1,limit,43,43,-0.010399458975053484,-0.010280143726464668
AUDNZD,2026-04-07 12:00:00+00:00,-1,limit,5,8,0.007187198537495907,0.006733093283877723
AUDNZD,2026-04-29 00:00:00+00:00,-1,limit,9,19,0.0034379829572691546,0.0028974459893360218
AUDNZD,2026-05-26 04:00:00+00:00,-1,limit,5,5,0.0036141447272192164,0.0024039976467450817
AUDUSD,2016-08-10 04:00:00+00:00,-1,limit,14,14,0.004116823313346865,0.0037195949057836843
AUDUSD,2016-10-19 12:00:00+00:00,-1,limit,6,6,0.009735030488658277,0.009760473633039106
AUDUSD,2016-11-08 16:00:00+00:00,-1,limit,2,2,0.0166262311042542,0.009362060081230847
AUDUSD,2016-11-18 12:00:00+00:00,1,limit,16,16,0.009787506916226821,0.010077166174438714
AUDUSD,2017-04-07 16:00:00+00:00,1,limit,20,20,0.004653027603834507,0.0023141709002413454
AUDUSD,2017-04-27 12:00:00+00:00,1,limit,11,11,0.0065372671377196545,0.005914689597134332
AUDUSD,2017-06-14 12:00:00+00:00,-1,limit,25,25,0.005709628187025666,0.003921155172812584
AUDUSD,2017-07-13 00:00:00+00:00,-1,limit,50,56,-0.027898072321348846,-0.02827314793947237
AUDUSD,2017-09-07 12:00:00+00:00,-1,limit,16,16,0.0034216265985033446,0.0020633102703703234
AUDUSD,2017-09-20 12:00:00+00:00,-1,limit,1,1,0.005725609935789927,0.005209312876959417
AUDUSD,2017-09-28 00:00:00+00:00,1,limit,25,25,0.004513493458287344,0.002923812621331547
AUDUSD,2017-10-06 00:00:00+00:00,1,limit,14,20,0.004734877030924462,0.0055273028639897985
AUDUSD,2017-11-15 00:00:00+00:00,1,limit,28,29,-0.000566760850898718,-0.000668757429847983
AUDUSD,2017-12-27 04:00:00+00:00,-1,limit,44,44,-0.010139983355182125,-0.010387815519277154
AUDUSD,2018-03-01 00:00:00+00:00,1,limit,19,19,0.005936755708223925,0.0054414649656871535
AUDUSD,2018-04-24 12:00:00+00:00,1,limit,42,42,-0.008187009246147561,-0.008352669636671561
AUDUSD,2018-06-18 12:00:00+00:00,1,limit,23,23,0.0013617973289061054,-0.00012738050621713827
AUDUSD,2018-06-27 16:00:00+00:00,1,limit,8,8,0.006670489611314706,0.0057182028241575715
AUDUSD,2018-08-14 12:00:00+00:00,1,limit,17,18,0.005706079198115886,0.00553901219663705
AUDUSD,2018-08-31 08:00:00+00:00,1,limit,51,51,-0.00905302913543534,-0.011929117814321806
AUDUSD,2018-10-05 12:00:00+00:00,1,limit,14,14,0.007648973465548465,0.007768791331794899
AUDUSD,2018-11-07 08:00:00+00:00,-1,limit,13,14,0.009008751299088286,0.008029610236175662
AUDUSD,2019-05-14 04:00:00+00:00,1,limit,25,25,-0.0021456073278733508,-0.002938857266390173
AUDUSD,2019-06-17 16:00:00+00:00,1,limit,12,14,0.006349813146464701,0.005496614107923416
AUDUSD,2019-12-27 08:00:00+00:00,-1,limit,24,24,-7.175804338027284e-05,-0.0015964440985929667
AUDUSD,2020-08-05 08:00:00+00:00,-1,limit,6,13,0.008582135987351044,0.006815304143906289
AUDUSD,2020-08-19 04:00:00+00:00,-1,limit,3,3,0.011338759981952579,0.009445698139532804
AUDUSD,2020-08-28 00:00:00+00:00,-1,limit,22,25,-0.004047423373334067,-0.00366696959266042
AUDUSD,2020-11-17 08:00:00+00:00,-1,limit,1,4,0.0049678516532315024,0.00490896404118093
AUDUSD,2020-11-27 12:00:00+00:00,-1,limit,8,8,0.005503413464714731,0.005401350697977004
AUDUSD,2020-12-03 04:00:00+00:00,-1,limit,14,14,0.005368235175327217,0.0036749465219428515
AUDUSD,2020-12-17 08:00:00+00:00,-1,limit,11,11,0.00821206402108021,0.00809075097449308
